Sample in Buffer,Sample in Window,TRIGGER,voltage_signals[15:0],parallel_word_data[15:0],DAC_send_pulse
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,HEX
0,0,0,061c,6621,0
1,1,0,061c,6621,0
2,2,1,061c,6621,1
3,3,0,061c,6621,1
4,4,0,061c,6621,1
5,5,0,061c,6621,1
6,6,0,061c,26484,1
7,7,0,061c,26484,1
8,8,0,061c,-25135,1
9,9,0,061c,-25135,1
10,10,0,061c,30534,1
11,11,0,061c,30534,1
12,12,0,061c,-8935,1
13,13,0,061c,-8935,1
14,14,0,061c,29797,1
15,15,0,061c,29797,1
16,16,0,061c,-11882,1
17,17,0,061c,-11882,1
18,18,0,061c,18011,1
19,19,0,061c,18011,1
20,20,0,061c,6509,1
21,21,0,061c,6509,1
22,22,0,061c,6509,1
23,23,0,061c,6509,1
24,24,0,061c,6509,1
25,25,0,061c,6509,1
26,26,0,061c,6509,1
27,27,0,061c,6509,1
28,28,0,061c,6509,1
29,29,0,061c,6509,1
30,30,0,061c,6509,1
31,31,0,061c,26036,1
32,32,0,061c,26036,1
33,33,0,061c,-26927,1
34,34,0,061c,-26927,1
35,35,0,061c,23366,1
36,36,0,061c,23366,1
37,37,0,061c,27930,1
38,38,0,061c,27930,1
39,39,0,061c,-19350,1
40,40,0,061c,-19350,1
41,41,0,061c,-11863,1
42,42,0,061c,-11863,1
43,43,0,061c,18087,1
44,44,0,061c,18087,1
45,45,0,061c,6814,1
46,46,0,061c,6814,1
47,47,0,061c,6814,1
48,48,0,061c,6814,1
49,49,0,061c,6814,1
50,50,0,061c,6814,1
51,51,0,061c,6814,1
52,52,0,061c,6814,1
53,53,0,061c,6814,1
54,54,0,061c,6814,1
55,55,0,061c,6814,1
56,56,0,061c,27256,1
57,57,0,061c,27256,1
58,58,0,061c,-22047,1
59,59,0,061c,-22047,1
60,60,0,061c,-22650,1
61,61,0,061c,-22650,1
62,62,0,061c,-25062,1
63,63,0,061c,-25062,1
64,64,0,061c,30824,1
65,65,0,061c,30824,1
66,66,0,061c,-7775,1
67,67,0,061c,-7775,1
68,68,0,061c,-31098,1
69,69,0,061c,-31098,1
70,70,0,061c,6683,1
71,71,0,061c,6683,1
72,72,0,061c,6683,1
73,73,0,061c,6683,1
74,74,0,061c,6683,1
75,75,0,061c,6683,1
76,76,0,061c,6683,1
77,77,0,061c,6683,1
78,78,0,061c,6683,1
79,79,0,061c,6683,1
80,80,0,061c,6683,1
81,81,0,061c,26732,1
82,82,0,061c,26732,1
83,83,0,061c,-24142,1
84,84,0,061c,-24142,1
85,85,0,061c,-31032,1
86,86,0,061c,-31032,1
87,87,0,061c,6947,1
88,88,0,061c,6947,1
89,89,0,061c,27790,1
90,90,0,061c,27790,1
91,91,0,061c,-19910,1
